"index","book_id","book_title","publication_info","author","num_ratings","num_reviews","average_rating","publication_date"
0,1,"Harry Potter and the Half-Blood Prince","First published ","J.K. Rowling",3292516,58398,"4.58","2005-07-16"
1,2,"Harry Potter and the Order of the Phoenix","First published ","J.K. Rowling",3401709,64300,"4.50","2003-06-21"
2,3,"Harry Potter and the Sorcerer's Stone","First published ","J.K. Rowling",10116247,163493,"4.47","1997-06-26"
3,5,"Harry Potter and the Prisoner of Azkaban","First published ","J.K. Rowling",4215031,84959,"4.58","1999-07-08"
4,6,"Harry Potter and the Goblet of Fire","First published ","J.K. Rowling",3718209,69961,"4.57","2000-07-08"
5,8,"Harry Potter Boxed Set, Books 1-5","First published ","J.K. Rowling",148443,313,"4.72","2003-10-01"
6,10,"Harry Potter Collection","First published ","J.K. Rowling",32990,974,"4.72","2005-01-01"
7,11,"The Hitchhiker’s Guide to the Galaxy","First published ","Douglas Adams",1849362,46122,"4.23","1979-10-12"
8,13,"The Ultimate Hitchhiker’s Guide to the Galaxy","First published ","Douglas Adams",323845,6355,"4.38","1996-01-17"
9,21,"A Short History of Nearly Everything","First published ","Bill Bryson",387803,15874,"4.21","2003-01-01"
10,24,"In a Sunburned Country","First published ","Bill Bryson",112464,6785,"4.08","2000-01-01"
11,25,"I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away","First published ","Bill Bryson",66863,3296,"3.90","1998-01-01"
12,26,"The Lost Continent: Travels in Small-Town America","First published ","Bill Bryson",61418,3453,"3.81","1989-08-01"
13,27,"Neither Here nor There: Travels in Europe","First published ","Bill Bryson",74848,3563,"3.86","1991-01-01"
14,28,"Notes from a Small Island","First published ","Bill Bryson",113014,5231,"3.91","1995-01-01"
15,29,"The Mother Tongue: English and How It Got That Way","First published ","Bill Bryson",41853,3293,"3.91","1990-01-01"
16,30,"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","First published ","J.R.R. Tolkien",134077,2272,"4.61","1954-01-01"
18,34,"The Fellowship of the Ring","First published ","J.R.R. Tolkien",2819586,40280,"4.39","1954-07-29"
19,50,"Hatchet","First published ","Gary Paulsen",395109,18479,"3.78","1987-09-30"
20,58,"Changeling","First published ","Delia Sherman",1085,126,"3.59","2006-08-17"
21,61,"The Changeling","First published ","Zilpha Keatley Snyder",1510,157,"4.18","1970-01-01"
22,67,"The Known World","First published ","Edward P. Jones",41387,3656,"3.83","2003-09-01"
23,79,"Coming Into the Country","First published ","John McPhee",7126,403,"4.21","1977-01-01"
24,93,"Heidi","First published ","Johanna Spyri",199998,6263,"4.03","1880-01-01"
25,105,"Chapterhouse: Dune","First published ","Frank Herbert",68582,2294,"3.90","1985-04-01"
26,112,"Children of Dune","First published ","Frank Herbert",192872,8379,"3.96","1976-04-01"
27,117,"Heretics of Dune","First published ","Frank Herbert",83194,2836,"3.87","1984-04-01"
29,122,"The Power of One","First published ","Bryce Courtenay",89204,5930,"4.35","1989-01-01"
30,180,"Wrinkles in Time","First published ","George Smoot",1251,49,"4.03","1993-01-01"
31,231,"I Am Charlotte Simmons","First published ","Tom Wolfe",27754,2142,"3.45","2004-12-09"
32,249,"Tropic of Cancer","First published ","Henry Miller",72611,4368,"3.66","1934-01-01"
33,250,"Tropic of Capricorn","First published ","Henry Miller",20244,878,"3.81","1939-02-01"
34,252,"Sexus","First published ","Henry Miller",9573,432,"4.01","1949-01-01"
35,253,"The Air-Conditioned Nightmare","First published ","Henry Miller",3337,221,"3.82","1945-01-01"
36,264,"The Portrait of a Lady","First published ","Henry James",80791,3864,"3.79","1881-01-01"
37,275,"The Lover","First published ","Marguerite Duras",57278,5104,"3.72","1984-01-01"
38,291,"The Broken Wings","First published ","Kahlil Gibran",24593,3217,"3.96","1912-01-01"
