"book_id","genre"
1,"Adventure"
1,"Audiobook"
1,"Childrens"
1,"Fantasy"
1,"Fiction"
1,"Magic"
1,"Young Adult"
2,"Adventure"
2,"Audiobook"
2,"Childrens"
2,"Fiction"
2,"Magic"
2,"Middle Grade"
2,"Young Adult"
3,"Audiobook"
3,"Childrens"
3,"Fantasy"
3,"Fiction"
3,"Magic"
3,"Middle Grade"
3,"Young Adult"
5,"Audiobook"
5,"Childrens"
5,"Fantasy"
5,"Fiction"
5,"Magic"
5,"Middle Grade"
5,"Young Adult"
6,"Audiobook"
6,"Childrens"
6,"Fantasy"
6,"Fiction"
6,"Magic"
6,"Middle Grade"
6,"Young Adult"
8,"Adventure"
8,"Childrens"
8,"Fantasy"
8,"Fiction"
8,"Magic"
8,"Supernatural"
8,"Young Adult"
10,"Adventure"
10,"Childrens"
10,"Classics"
10,"Fantasy"
10,"Fiction"
10,"Magic"
10,"Young Adult"
11,"Audiobook"
11,"Comedy"
11,"Fantasy"
11,"Fiction"
11,"Humor"
11,"Science Fiction"
11,"Science Fiction Fantasy"
13,"Classics"
13,"Comedy"
13,"Fantasy"
13,"Fiction"
13,"Humor"
13,"Science Fiction"
13,"Science Fiction Fantasy"
21,"Audiobook"
21,"Historical"
21,"History"
21,"Humor"
21,"Nonfiction"
21,"Physics"
21,"Science"
24,"Audiobook"
24,"Australia"
24,"History"
24,"Humor"
24,"Memoir"
24,"Nonfiction"
24,"Travel"
25,"Audiobook"
25,"Biography"
25,"Essays"
25,"Humor"
25,"Memoir"
25,"Nonfiction"
25,"Travel"
26,"American"
26,"Audiobook"
26,"Biography"
26,"Humor"
26,"Memoir"
26,"Nonfiction"
26,"Travel"
27,"Audiobook"
27,"Biography"
27,"Humor"
27,"Memoir"
27,"Nonfiction"
27,"Travel"
27,"Travelogue"
28,"Audiobook"
28,"Biography"
28,"British Literature"
28,"Humor"
28,"Memoir"
28,"Nonfiction"
28,"Travel"
29,"Audiobook"
29,"History"
29,"Humor"
29,"Language"
29,"Linguistics"
29,"Nonfiction"
29,"Writing"
30,"Adventure"
30,"Classics"
30,"Epic Fantasy"
30,"Fantasy"
30,"Fiction"
30,"High Fantasy"
30,"Science Fiction Fantasy"
33,"Adventure"
